INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Componentes de carencia por acceso a la alimentación nutritiva y de calidad, según entidad federativa1/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de personas y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,,,,71 817.6,74 863.8,73 245.8,85 185.8,95 278.4,,24 857.9,23 815.5,27 205.1,22 778.2,18 628.3,,14 347.8,14 885.7,16 056.3,12 734.2,9 810.4,,9 770.8,10 262.1,10 235.1,8 189.4,6 499.0,,4 269.8,4 374.1,4 594.2,4 457.1,4 056.7,, 59.5, 60.5, 57.8, 66.1, 73.2,, 20.6, 19.2, 21.5, 17.7, 14.3,, 11.9, 12.0, 12.7, 9.9, 7.5,, 8.1, 8.3, 8.1, 6.4, 5.0,, 3.5, 3.5, 3.6, 3.5, 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,, 863.4, 992.9, 961.9,1 071.4,1 264.8,, 227.6, 202.5, 222.7, 187.3, 110.6,, 126.3, 101.9, 142.4, 113.8, 63.7,, 100.3, 76.5, 108.1, 111.2, 57.4,, 20.8, 18.0, 22.0, 17.0, 12.4,, 65.5, 72.3, 67.0, 72.2, 84.5,, 17.3, 14.7, 15.5, 12.6, 7.4,, 9.6, 7.4, 9.9, 7.7, 4.3,, 7.6, 5.6, 7.5, 7.5, 3.8,, 1.6, 1.3, 1.5, 1.1, 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,,,,2 637.2,2 804.9,2 689.6,3 177.0,3 206.9,, 446.1, 411.7, 614.9, 307.4, 288.3,, 315.4, 295.3, 304.5, 215.7, 146.3,, 226.5, 234.8, 174.7, 122.0, 141.1,, 75.9, 39.3, 52.9, 53.4, 27.5,, 72.7, 74.9, 71.1, 83.1, 84.8,, 12.3, 11.0, 16.3, 8.0, 7.6,, 8.7, 7.9, 8.0, 5.6, 3.9,, 6.2, 6.3, 4.6, 3.2, 3.7,, 2.1, 1.0, 1.4, 1.4, 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,,,, 465.0, 506.1, 483.8, 626.4, 712.1,, 118.6, 119.3, 141.8, 99.9, 86.9,, 82.5, 78.5, 111.4, 66.6, 44.3,, 56.1, 57.3, 72.4, 48.5, 34.7,, 14.2, 12.2, 13.9, 10.9, 8.7,, 64.4, 66.5, 59.8, 74.5, 81.1,, 16.4, 15.7, 17.5, 11.9, 9.9,, 11.4, 10.3, 13.8, 7.9, 5.0,, 7.8, 7.5, 8.9, 5.8, 4.0,, 2.0, 1.6, 1.7, 1.3, 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,,,, 450.9, 457.6, 497.0, 602.7, 670.4,, 187.0, 180.8, 208.4, 157.4, 132.9,, 127.5, 140.6, 144.9, 99.7, 87.2,, 92.0, 100.9, 84.3, 90.8, 55.0,, 48.2, 38.4, 34.4, 36.0, 34.9,, 52.6, 52.0, 53.2, 63.4, 70.9,, 21.8, 20.6, 22.3, 16.6, 14.1,, 14.9, 16.0, 15.5, 10.5, 9.2,, 10.7, 11.5, 9.0, 9.5, 5.8,, 5.6, 4.4, 3.7, 3.8, 3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,,,,2 006.2,2 064.6,2 168.9,2 470.4,2 739.5,, 473.1, 428.5, 519.0, 391.0, 374.5,, 270.1, 309.8, 285.6, 234.5, 176.8,, 206.5, 247.4, 196.8, 177.3, 116.2,, 31.5, 19.8, 17.6, 29.5, 16.4,, 67.9, 67.7, 68.4, 75.5, 80.4,, 16.0, 14.0, 16.4, 11.9, 11.0,, 9.1, 10.2, 9.0, 7.2, 5.2,, 7.0, 8.1, 6.2, 5.4, 3.4,, 1.1, 0.6, 0.6, 0.9, 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,,,, 428.5, 448.3, 491.4, 574.2, 583.4,, 123.1, 118.1, 121.1, 94.6, 76.4,, 89.0, 91.7, 64.4, 64.9, 39.0,, 58.8, 64.6, 57.5, 37.3, 27.5,, 10.9, 18.9, 12.5, 8.7, 9.5,, 61.3, 62.0, 66.9, 74.5, 80.3,, 17.6, 16.3, 16.5, 12.3, 10.5,, 12.7, 12.7, 8.8, 8.4, 5.4,, 8.4, 8.9, 7.8, 4.8, 3.8,, 1.6, 2.6, 1.7, 1.1, 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,,,,2 642.1,2 554.1,2 874.4,3 214.1,3 607.7,,1 532.4,1 593.8,1 532.8,1 502.8,1 256.5,, 680.1, 778.3, 688.6, 682.6, 586.9,, 326.5, 415.1, 491.7, 298.4, 409.3,, 290.0, 256.4, 281.4, 270.9, 346.1,, 51.0, 47.8, 51.4, 56.4, 61.6,, 29.6, 29.8, 27.4, 26.4, 21.4,, 13.1, 14.6, 12.3, 12.0, 10.0,, 6.3, 7.8, 8.8, 5.2, 7.0,, 5.6, 4.8, 5.0, 4.8, 5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,,,,2 278.9,2 527.5,2 773.7,3 051.2,3 236.3,, 662.9, 502.6, 501.7, 400.6, 277.9,, 354.0, 344.8, 255.6, 187.7, 197.7,, 300.0, 306.9, 232.9, 168.0, 174.1,, 36.2, 36.0, 30.6, 23.9, 39.5,, 63.4, 68.6, 73.7, 80.1, 83.3,, 18.4, 13.7, 13.3, 10.5, 7.2,, 9.8, 9.4, 6.8, 4.9, 5.1,, 8.3, 8.3, 6.2, 4.4, 4.5,, 1.0, 1.0, 0.8, 0.6, 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
