INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Componentes de carencia por acceso a los servicios de salud, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 3,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de personas y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,
Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ocupada sin acceso directo a servicios de salud1/,,,,,,No ocupada sin acceso a servicios de salud2/,,,,,,"Acceso a los servicios de salud, según institución y tipo de acceso3/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ocupada sin acceso directo a servicios de salud1/,,,,,,No ocupada sin acceso a servicios de salud2/,,,,,,"Acceso a los servicios de salud, según institución y tipo de acceso3/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Seguro Popular o INSABI4/,,,,,IMSS,,,,,,IMSS-Prospera o   IMSS-Bienestar5/,,,,,,ISSSTE,,,,,,ISSSTE estatal,,,,,,"Pemex, Defensa o Marina",,,,,,"Centro de salud, hospital o instituto público de salud6/",,,,,,Seguro privado de gastos médicos7/,,,,,,Otra institución médica,,,,,,Acceso indirecto8/,,,,,,,,,,,,,,,,,,Seguro Popular o INSABI4/,,,,,IMSS,,,,,,IMSS-Prospera o   IMSS-Bienestar5/,,,,,,ISSSTE,,,,,,ISSSTE estatal,,,,,,"Pemex, Defensa o Marina",,,,,,"Centro de salud, hospital o instituto público de salud6/",,,,,,Seguro privado de gastos médicos7/,,,,,,Otra institución médica,,,,,,Acceso indirecto8/,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,
Estados Unidos Mexicanos,,,,35 638.4,37 367.0,36 987.9,38 915.0,38 117.2,,9 092.4,9 572.5,18 658.4,25 860.1,22 347.0,,54 621.4,52 135.0,34 098.3,16 885.0,,42 873.5,45 193.4,47 089.1,49 389.1,53 628.2,,1 226.4, 424.2, 394.5, 549.9,4 601.8,,6 770.9,6 771.0,7 056.8,6 862.0,6 954.0,,1 662.0,1 723.9,1 849.1,2 018.2,2 019.0,,1 011.9, 950.7,1 012.7,1 169.5,1 166.4,,NA,NA,NA,NA,13 703.9,,1 005.3, 979.4,1 036.1,1 191.4,1 629.5,,1 022.6, 896.6, 882.5, 921.9, 379.2,,2 226.7,2 170.6,3 102.2,3 880.2,3 224.8,, 64.6, 64.5, 63.7, 63.1, 60.6,, 13.9, 14.5, 27.2, 38.5, 33.2,, 45.2, 42.1, 26.9, 13.1,, 35.5, 36.5, 37.2, 38.3, 41.2,, 1.0, 0.3, 0.3, 0.4, 3.5,, 5.6, 5.5, 5.6, 5.3, 5.3,, 1.4, 1.4, 1.5, 1.6, 1.6,, 0.8, 0.8, 0.8, 0.9, 0.9,,NA,NA,NA,NA, 10.5,, 0.8, 0.8, 0.8, 0.9, 1.3,, 0.8, 0.7, 0.7, 0.7, 0.3,, 1.8, 1.8, 2.4, 3.0, 2.5,
Aguascalientes,,,, 313.0, 323.4, 338.2, 335.2, 308.4,, 74.1, 75.2, 149.6, 208.7, 207.0,, 443.4, 425.8, 276.2, 156.6,, 700.3, 741.3, 766.8, 834.4, 868.6,, 0.4, 0.7, 1.7, 9.5, 9.5,, 82.1, 90.7, 93.9, 80.1, 77.3,, 3.3, 5.1, 8.1, 6.4, 10.0,, 1.5, 1.5, 4.1, 2.1, 3.4,,NA,NA,NA,NA, 107.7,, 5.6, 12.6, 10.1, 18.0, 11.0,, 6.4, 5.2, 2.0, 13.2, 1.5,, 21.4, 24.1, 43.1, 47.9, 44.1,, 51.3, 50.6, 50.1, 48.7, 44.2,, 10.5, 10.2, 19.7, 26.2, 25.9,, 33.7, 31.0, 19.2, 10.6,, 53.2, 54.0, 53.4, 56.2, 58.0,, 0.0, 0.0, 0.1, 0.6, 0.6,, 6.2, 6.6, 6.5, 5.4, 5.2,, 0.3, 0.4, 0.6, 0.4, 0.7,, 0.1, 0.1, 0.3, 0.1, 0.2,,NA,NA,NA,NA, 7.2,, 0.4, 0.9, 0.7, 1.2, 0.7,, 0.5, 0.4, 0.1, 0.9, 0.1,, 1.6, 1.8, 3.0, 3.2, 2.9,
Baja California,,,, 736.8, 768.8, 792.9, 811.0, 689.4,, 346.9, 342.1, 504.2, 589.1, 498.1,, 968.0,1 001.2, 749.0, 280.3,,1 830.0,1 899.0,1 865.5,2 112.6,2 223.1,, 6.9, 2.1, 4.7, 7.3, 51.4,, 112.0, 110.5, 120.3, 87.7, 91.4,, 154.6, 137.7, 113.5, 121.0, 118.7,, 3.2, 10.6, 4.1, 12.0, 4.1,,NA,NA,NA,NA, 244.4,, 65.5, 39.7, 44.3, 50.5, 110.3,, 35.2, 31.7, 43.5, 47.7, 4.9,, 115.9, 108.8, 151.2, 162.4, 90.3,, 44.0, 44.7, 46.2, 43.6, 39.6,, 17.8, 16.9, 24.4, 30.0, 24.4,, 26.7, 26.7, 19.8, 7.3,, 50.5, 50.7, 49.3, 55.3, 58.8,, 0.2, 0.1, 0.1, 0.2, 1.4,, 3.1, 3.0, 3.2, 2.3, 2.4,, 4.3, 3.7, 3.0, 3.2, 3.1,, 0.1, 0.3, 0.1, 0.3, 0.1,,NA,NA,NA,NA, 6.5,, 1.8, 1.1, 1.2, 1.3, 2.9,, 1.0, 0.8, 1.1, 1.2, 0.1,, 3.2, 2.9, 4.0, 4.2, 2.4,
Baja California Sur,,,, 154.8, 155.8, 169.6, 194.0, 184.9,, 41.2, 35.5, 73.9, 63.2, 81.6,, 217.8, 200.5, 152.4, 128.5,, 348.9, 405.7, 401.8, 450.9, 474.0,, 0.4, 0.9, 1.1, 1.1, 34.6,, 94.1, 95.7, 108.2, 106.8, 114.1,, 1.7, 0.6, 0.9, 1.2, 8.5,, 4.1, 7.3, 12.9, 7.0, 8.6,,NA,NA,NA,NA, 44.0,, 10.3, 6.3, 11.2, 10.4, 8.2,, 3.2, 4.4, 4.0, 2.2, 1.2,, 16.5, 16.4, 26.4, 27.8, 29.7,, 45.9, 42.2, 44.5, 43.8, 40.4,, 10.7, 9.1, 17.3, 15.8, 19.4,, 30.2, 26.3, 18.8, 15.3,, 48.3, 53.3, 49.6, 53.6, 54.0,, 0.1, 0.1, 0.1, 0.1, 3.9,, 13.0, 12.6, 13.4, 12.7, 13.0,, 0.2, 0.1, 0.1, 0.1, 1.0,, 0.6, 1.0, 1.6, 0.8, 1.0,,NA,NA,NA,NA, 5.0,, 1.4, 0.8, 1.4, 1.2, 0.9,, 0.4, 0.6, 0.5, 0.3, 0.1,, 2.3, 2.2, 3.3, 3.3, 3.4,
Campeche,,,, 290.7, 308.5, 325.6, 328.1, 320.2,, 45.6, 47.6, 91.1, 153.8, 119.6,, 485.3, 474.1, 358.1, 225.4,, 249.1, 257.7, 300.2, 306.2, 333.4,, 19.5, 15.6, 0.9, 3.0, 156.7,, 56.5, 54.2, 60.2, 55.4, 75.6,, 2.5, 1.7, 1.3, 0.1, 1.1,, 29.2, 27.9, 32.5, 30.0, 28.3,,NA,NA,NA,NA, 74.7,, 4.5, 2.3, 4.9, 4.5, 3.5,, 2.1, 1.3, 1.8, 0.4, 0.1,, 11.5, 9.3, 18.1, 26.1, 17.5,, 70.1, 71.2, 69.7, 69.5, 67.5,, 10.3, 10.6, 19.5, 32.2, 25.4,, 56.6, 53.9, 38.3, 23.7,, 29.0, 29.3, 32.1, 32.2, 35.3,, 2.3, 1.8, 0.1, 0.3, 16.6,, 6.6, 6.2, 6.4, 5.8, 8.0,, 0.3, 0.2, 0.1, 0.0, 0.1,, 3.4, 3.2, 3.5, 3.2, 3.0,,NA,NA,NA,NA, 7.9,, 0.5, 0.3, 0.5, 0.5, 0.4,, 0.2, 0.1, 0.2, 0.0, 0.0,, 1.3, 1.1, 1.9, 2.7, 1.9,
Coahuila de Zaragoza,,,, 530.0, 547.1, 561.5, 575.1, 578.8,, 204.5, 227.1, 412.5, 369.0, 386.9,, 747.1, 519.8, 269.8, 165.4,,1 867.9,2 012.9,1 960.4,2 190.5,2 315.5,, 12.3, 6.6, 6.4, 11.3, 25.9,, 180.0, 174.0, 201.1, 202.9, 211.7,, 6.4, 3.1, 24.7, 15.6, 19.4,, 3.5, 7.4, 8.9, 5.6, 5.7,,NA,NA,NA,NA, 54.9,, 38.8, 37.4, 36.8, 43.1, 61.7,, 81.1, 44.8, 38.8, 49.9, 28.0,, 56.1, 66.4, 88.1, 78.6, 67.2,, 42.2, 41.3, 41.8, 38.9, 37.0,, 12.0, 13.2, 22.6, 20.6, 21.0,, 25.3, 17.0, 8.5, 5.1,, 63.2, 66.0, 61.8, 66.9, 68.0,, 0.4, 0.2, 0.2, 0.3, 0.8,, 6.1, 5.7, 6.3, 6.2, 6.2,, 0.2, 0.1, 0.8, 0.5, 0.6,, 0.1, 0.2, 0.3, 0.2, 0.2,,NA,NA,NA,NA, 1.6,, 1.3, 1.2, 1.2, 1.3, 1.8,, 2.7, 1.5, 1.2, 1.5, 0.8,, 1.9, 2.2, 2.8, 2.4, 2.0,
Colima,,,, 196.9, 212.1, 211.4, 201.8, 207.1,, 35.7, 31.8, 64.3, 78.2, 75.9,, 270.8, 275.6, 198.9, 116.3,, 314.2, 337.6, 353.6, 412.3, 395.7,, 0.1, 0.1, 0.1, 2.2, 38.3,, 44.9, 51.4, 48.2, 60.3, 44.8,, 0.6, 0.3, 0.1, 0.3, 2.2,, 10.1, 6.3, 11.9, 10.4, 9.2,,NA,NA,NA,NA, 51.5,, 5.0, 5.7, 6.1, 4.3, 5.5,, 2.3, 3.4, 6.2, 3.2, 0.4,, 11.2, 10.3, 11.7, 21.4, 13.4,, 59.3, 58.8, 58.6, 52.6, 55.1,, 9.7, 8.8, 17.2, 20.2, 21.7,, 38.7, 38.1, 27.1, 15.1,, 44.9, 46.7, 48.1, 53.5, 54.5,, 0.0, 0.0, 0.0, 0.3, 5.3,, 6.4, 7.1, 6.6, 7.8, 6.2,, 0.1, 0.0, 0.0, 0.0, 0.3,, 1.4, 0.9, 1.6, 1.3, 1.3,,NA,NA,NA,NA, 7.1,, 0.7, 0.8, 0.8, 0.6, 0.8,, 0.3, 0.5, 0.8, 0.4, 0.0,, 1.6, 1.4, 1.6, 2.8, 1.8,
Chiapas,,,,2 098.6,2 285.9,2 421.5,2 339.1,2 412.0,, 405.9, 496.1,1 037.5,2 007.9,1 917.3,,3 719.0,3 709.0,2 595.7, 879.8,, 602.6, 507.6, 621.6, 644.8, 809.5,, 419.7, 90.2, 74.9, 40.9, 237.7,, 162.4, 217.2, 203.4, 197.2, 200.0,, 86.4, 51.9, 86.2, 106.9, 84.2,, 19.4, 20.6, 52.0, 45.6, 49.4,,NA,NA,NA,NA, 612.7,, 16.3, 8.1, 13.0, 12.4, 36.0,, 36.2, 28.9, 30.1, 23.1, 5.6,, 53.7, 40.2, 68.6, 112.6, 132.9,, 87.2, 89.1, 88.3, 87.4, 85.8,, 14.6, 17.9, 36.5, 66.5, 62.9,, 71.8, 69.4, 46.5, 15.4,, 11.6, 9.5, 11.1, 11.3, 13.8,, 8.1, 1.7, 1.3, 0.7, 4.1,, 3.1, 4.1, 3.6, 3.5, 3.4,, 1.7, 1.0, 1.5, 1.9, 1.4,, 0.4, 0.4, 0.9, 0.8, 0.8,,NA,NA,NA,NA, 10.5,, 0.3, 0.2, 0.2, 0.2, 0.6,, 0.7, 0.5, 0.5, 0.4, 0.1,, 1.0, 0.8, 1.2, 2.0, 2.3,
