INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Componentes de carencia por calidad y espacios de la vivienda, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de personas y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Población en viviendas con pisos de tierra,,,,,,Población en viviendas con techos de material endeble,,,,,,Población en viviendas con muros de material endeble,,,,,,Población en viviendas con hacinamiento,,,,,,Población en viviendas con pisos de tierra,,,,,,Población en viviendas con techos de material endeble,,,,,,Población en viviendas con muros de material endeble,,,,,,Población en viviendas con hacinamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,,,,3 925.9,3 778.8,3 409.2,3 787.9,3 660.5,,1 527.3,1 371.4,1 061.1,1 247.7, 984.4,,1 958.4,1 589.2,1 558.7,1 614.3,1 481.7,,10 038.6,9 468.3,7 820.1,7 422.4,6 119.9,, 3.3, 3.1, 2.7, 2.9, 2.8,, 1.3, 1.1, 0.8, 1.0, 0.8,, 1.6, 1.3, 1.2, 1.3, 1.1,, 8.3, 7.6, 6.2, 5.8, 4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,, 12.8, 10.9, 6.7, 7.5, 6.7,, 2.6, 1.1, 1.8, 22.9, 1.7,, 4.7, 2.7, 7.2, 2.2, 6.5,, 57.0, 54.1, 43.8, 39.6, 30.6,, 1.0, 0.8, 0.5, 0.5, 0.4,, 0.2, 0.1, 0.1, 1.5, 0.1,, 0.4, 0.2, 0.5, 0.2, 0.4,, 4.3, 3.9, 3.0, 2.7, 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,,,, 51.5, 47.8, 55.9, 36.5, 47.6,, 34.2, 45.4, 33.8, 39.3, 13.0,, 72.1, 67.4, 55.6, 35.0, 54.9,, 152.5, 220.8, 140.5, 134.4, 114.4,, 1.4, 1.3, 1.5, 1.0, 1.3,, 0.9, 1.2, 0.9, 1.0, 0.3,, 2.0, 1.8, 1.5, 0.9, 1.5,, 4.2, 5.9, 3.7, 3.5, 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,,,, 19.7, 29.6, 23.4, 15.2, 28.2,, 9.8, 7.2, 4.4, 6.7, 5.1,, 13.6, 12.9, 15.3, 10.8, 9.8,, 71.5, 78.6, 62.6, 48.4, 66.4,, 2.7, 3.9, 2.9, 1.8, 3.2,, 1.4, 0.9, 0.5, 0.8, 0.6,, 1.9, 1.7, 1.9, 1.3, 1.1,, 9.9, 10.3, 7.7, 5.8, 7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,,,, 14.0, 17.5, 22.3, 20.6, 22.9,, 2.9, 2.6, 4.1, 3.4, 1.5,, 26.5, 14.3, 18.8, 19.0, 14.8,, 118.1, 123.9, 99.4, 116.5, 110.8,, 1.6, 2.0, 2.4, 2.2, 2.4,, 0.3, 0.3, 0.4, 0.4, 0.2,, 3.1, 1.6, 2.0, 2.0, 1.6,, 13.8, 14.1, 10.6, 12.3, 11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,,,, 30.8, 22.5, 17.9, 12.8, 21.5,, 7.8, 17.2, 5.1, 9.7, 11.4,, 6.8, 15.5, 14.0, 22.8, 13.9,, 117.1, 93.3, 54.6, 69.7, 40.8,, 1.0, 0.7, 0.6, 0.4, 0.6,, 0.3, 0.6, 0.2, 0.3, 0.3,, 0.2, 0.5, 0.4, 0.7, 0.4,, 4.0, 3.1, 1.7, 2.1, 1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,,,, 18.3, 22.6, 13.8, 9.2, 11.8,, 6.3, 9.1, 9.1, 5.8, 3.3,, 9.8, 7.4, 5.3, 4.4, 5.4,, 58.4, 42.5, 32.9, 21.5, 27.6,, 2.6, 3.1, 1.9, 1.2, 1.6,, 0.9, 1.3, 1.2, 0.7, 0.5,, 1.4, 1.0, 0.7, 0.6, 0.7,, 8.4, 5.9, 4.5, 2.8, 3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,,,, 485.7, 469.6, 465.7, 558.4, 549.1,, 30.9, 29.9, 28.8, 12.4, 24.4,, 123.9, 113.7, 112.2, 140.4, 61.4,, 824.4, 888.1, 800.0, 927.4, 724.7,, 9.4, 8.8, 8.3, 9.8, 9.4,, 0.6, 0.6, 0.5, 0.2, 0.4,, 2.4, 2.1, 2.0, 2.5, 1.0,, 15.9, 16.6, 14.3, 16.3, 12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,,,, 40.1, 55.0, 59.5, 56.0, 62.6,, 10.5, 18.4, 12.1, 12.0, 27.1,, 8.7, 20.3, 15.2, 21.9, 12.8,, 212.7, 179.7, 160.6, 127.1, 127.3,, 1.1, 1.5, 1.6, 1.5, 1.6,, 0.3, 0.5, 0.3, 0.3, 0.7,, 0.2, 0.6, 0.4, 0.6, 0.3,, 5.9, 4.9, 4.3, 3.3, 3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de México,,,, 14.2, 40.4, 10.8, 41.6, 41.5,, 115.8, 92.2, 36.9, 81.4, 51.0,, 43.7, 85.2, 50.6, 33.6, 26.1,, 453.1, 370.6, 410.2, 265.8, 309.7,, 0.2, 0.4, 0.1, 0.4, 0.4,, 1.3, 1.0, 0.4, 0.9, 0.5,, 0.5, 0.9, 0.5, 0.4, 0.3,, 5.0, 4.0, 4.4, 2.9, 3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,, 29.7, 23.5, 22.2, 74.1, 54.5,, 9.9, 6.6, 12.2, 11.4, 14.1,, 6.0, 6.0, 6.7, 7.8, 12.4,, 90.0, 58.7, 74.2, 87.4, 86.3,, 1.7, 1.3, 1.2, 4.0, 2.9,, 0.6, 0.4, 0.7, 0.6, 0.7,, 0.3, 0.3, 0.4, 0.4, 0.7,, 5.1, 3.3, 4.0, 4.7, 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
