INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Componentes de rezago educativo, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de personas y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Inasistencia de la población de 3 a 15 años,,,,,,Inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia de la población de 3 a 15 años,,,,,,Tasa de inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,,,,4 465.7,6 281.9,6 889.9,6 567.8,6 027.2,,2 341.2,3 396.0,,5 110.6,4 921.6,4 655.7,4 840.5,4 489.5,,12 722.6,12 321.8,12 007.0,11 307.2,10 336.9,,2 394.2,2 569.4,2 757.9,2 595.1,2 277.8,,2 071.5,3 712.5,4 131.9,3 972.8,3 749.4,, 12.3, 15.6, 16.7, 15.9, 14.9,, 36.7, 34.5,, 17.3, 16.7, 16.0, 16.6, 15.2,, 25.8, 25.3, 24.3, 23.7, 22.3,, 8.1, 8.9, 9.9, 9.2, 8.3,, 35.9, 47.6, 51.7, 52.1, 49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,, 64.3, 72.7, 84.4, 95.0, 73.3,, 26.7, 49.9,, 46.9, 39.7, 34.9, 32.9, 32.5,, 96.5, 101.5, 95.9, 90.2, 69.3,, 33.6, 31.1, 32.7, 33.4, 27.5,, 30.6, 41.5, 51.7, 61.7, 45.9,, 15.1, 15.7, 17.0, 18.0, 14.9,, 36.1, 36.9,, 13.9, 11.8, 10.6, 10.1, 9.4,, 20.0, 20.0, 18.2, 18.4, 14.6,, 9.7, 9.4, 10.0, 9.3, 8.0,, 45.9, 50.2, 54.7, 60.7, 54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,,,, 138.1, 191.5, 213.5, 181.1, 145.6,, 66.9, 92.6,, 144.9, 154.1, 128.6, 134.7, 125.1,, 226.4, 250.8, 239.4, 211.6, 184.1,, 87.5, 95.2, 88.4, 84.8, 58.8,, 50.6, 96.3, 125.1, 96.3, 86.7,, 12.9, 16.1, 17.8, 15.7, 12.9,, 28.9, 29.7,, 15.3, 16.0, 14.2, 14.0, 12.9,, 15.6, 17.4, 16.4, 15.5, 14.7,, 10.1, 11.4, 11.3, 11.2, 7.7,, 28.4, 40.9, 51.3, 46.2, 44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,,,, 24.3, 28.2, 31.0, 30.8, 30.3,, 12.6, 21.4,, 27.2, 28.6, 25.2, 24.2, 25.1,, 51.8, 46.7, 56.1, 51.8, 40.6,, 14.5, 13.0, 12.6, 12.3, 11.7,, 9.9, 15.2, 18.4, 18.5, 18.6,, 11.6, 12.1, 12.1, 12.3, 11.5,, 30.7, 29.1,, 14.4, 13.9, 12.4, 11.2, 11.1,, 17.7, 16.2, 18.4, 16.8, 14.3,, 8.5, 7.7, 7.2, 7.3, 6.6,, 30.6, 36.0, 43.0, 43.0, 43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,,,, 28.1, 47.8, 45.9, 46.9, 46.0,, 18.1, 23.2,, 31.5, 32.7, 32.6, 34.2, 31.2,, 95.0, 89.9, 94.4, 93.9, 93.4,, 14.1, 22.4, 18.5, 19.1, 16.6,, 14.0, 25.3, 27.3, 27.7, 29.4,, 11.2, 16.7, 15.1, 15.0, 15.3,, 40.4, 36.1,, 14.6, 14.7, 14.7, 14.9, 13.9,, 27.5, 27.6, 26.7, 28.9, 28.8,, 6.9, 10.8, 8.9, 8.6, 7.9,, 33.7, 44.7, 47.9, 51.7, 53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,,,, 119.9, 169.1, 169.0, 168.0, 157.8,, 59.3, 99.3,, 78.5, 65.3, 64.0, 64.3, 55.2,, 208.0, 200.0, 197.7, 148.8, 139.4,, 63.3, 75.6, 63.6, 73.5, 52.0,, 56.7, 93.5, 105.4, 94.5, 105.8,, 13.3, 16.6, 16.3, 15.8, 14.5,, 38.3, 35.8,, 11.0, 9.6, 9.1, 8.6, 7.1,, 17.6, 16.7, 15.9, 12.7, 12.1,, 8.6, 10.2, 9.0, 9.9, 7.0,, 38.7, 49.3, 56.3, 53.0, 53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,,,, 20.0, 31.0, 38.2, 32.6, 24.1,, 11.3, 16.6,, 30.4, 28.9, 24.1, 23.8, 22.4,, 68.6, 71.2, 64.3, 52.9, 46.2,, 11.0, 13.8, 14.2, 12.6, 8.7,, 9.0, 17.3, 24.1, 20.0, 15.3,, 10.0, 14.1, 16.5, 13.5, 11.3,, 27.7, 30.2,, 16.7, 15.9, 14.1, 13.2, 13.6,, 24.2, 24.9, 21.6, 18.7, 17.0,, 6.6, 8.7, 9.2, 7.6, 6.1,, 32.1, 41.5, 52.0, 46.5, 40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,,,, 290.4, 421.6, 452.0, 422.6, 478.7,, 107.7, 235.6,, 428.6, 419.1, 424.2, 454.4, 454.3,, 844.4, 826.9, 884.9, 787.7, 821.3,, 162.0, 204.0, 200.2, 214.1, 228.7,, 128.5, 217.5, 251.8, 208.5, 249.9,, 16.1, 20.2, 21.5, 19.6, 22.4,, 46.5, 51.9,, 33.5, 34.0, 34.4, 35.9, 36.9,, 47.4, 48.6, 47.2, 45.0, 45.7,, 10.9, 13.0, 13.5, 13.2, 14.5,, 47.7, 55.3, 62.8, 61.7, 63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
