INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Situación de vulnerabilidad, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(miles de personas, porcentaje y carencias promedio)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Vulnerable por carencias sociales,,,,,,,,,,,,,,,,,,Vulnerable por ingresos,,,,,,,,,,,,No pobre y no vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Población,,,,,,Porcentaje,,,,,,Carencias promedio,,,,,,Población,,,,,,Porcentaje,,,,,,Población,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,,,,30 506.5,32 733.8,30 041.4,37 911.2,41 866.0,, 25.3, 26.4, 23.7, 29.4, 32.2,, 1.8, 1.8, 1.9, 2.0, 2.0,,9 122.2,9 879.5,11 232.0,9 299.6,7 558.3,, 7.6, 8.0, 8.9, 7.2, 5.8,,28 944.3,29 323.0,29 814.5,34 872.4,42 301.8,, 24.0, 23.7, 23.5, 27.1, 32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,, 330.7, 350.9, 367.2, 443.6, 454.5,, 25.1, 25.5, 25.6, 29.9, 30.4,, 1.6, 1.6, 1.7, 1.8, 1.8,, 152.0, 164.6, 158.9, 137.3, 116.1,, 11.5, 12.0, 11.1, 9.3, 7.8,, 453.4, 497.5, 512.5, 550.9, 670.4,, 34.4, 36.2, 35.7, 37.1, 44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,,,,1 217.3,1 270.6,1 299.7,1 454.3,1 437.6,, 33.6, 33.9, 34.4, 38.1, 38.0,, 1.7, 1.7, 1.8, 1.8, 1.7,, 280.1, 329.8, 299.8, 206.7, 184.9,, 7.7, 8.8, 7.9, 5.4, 4.9,,1 308.3,1 262.3,1 332.4,1 650.0,1 786.7,, 36.1, 33.7, 35.2, 43.2, 47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,,,, 246.3, 287.3, 242.6, 317.3, 324.2,, 34.1, 37.7, 30.0, 37.7, 36.9,, 1.8, 1.7, 1.7, 1.8, 1.8,, 52.6, 40.7, 66.8, 38.4, 35.0,, 7.3, 5.3, 8.2, 4.6, 4.0,, 258.0, 291.8, 276.7, 373.5, 429.3,, 35.7, 38.3, 34.2, 44.4, 48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,,,, 244.9, 238.3, 196.4, 263.3, 296.2,, 28.6, 27.1, 21.0, 27.7, 31.3,, 1.8, 2.0, 2.0, 2.1, 2.2,, 47.9, 52.2, 66.9, 56.0, 69.6,, 5.6, 5.9, 7.2, 5.9, 7.4,, 173.0, 158.5, 198.9, 202.2, 232.2,, 20.2, 18.0, 21.3, 21.3, 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,,,, 606.7, 672.3, 673.3, 789.5, 890.0,, 20.5, 22.0, 21.2, 24.1, 26.1,, 1.6, 1.5, 1.7, 1.7, 1.7,, 473.5, 444.5, 461.3, 346.3, 338.1,, 16.0, 14.6, 14.6, 10.6, 9.9,,1 076.0,1 155.4,1 223.6,1 540.2,1 757.1,, 36.4, 37.9, 38.6, 47.1, 51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,,,, 210.8, 235.0, 241.2, 245.6, 262.6,, 30.1, 32.5, 32.8, 31.9, 36.2,, 1.7, 1.7, 1.8, 1.8, 1.8,, 47.1, 44.9, 52.0, 52.3, 32.4,, 6.7, 6.2, 7.1, 6.8, 4.5,, 214.0, 223.1, 245.1, 314.6, 322.5,, 30.6, 30.9, 33.4, 40.8, 44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,,,, 610.0, 655.2, 788.8,1 247.2,1 172.7,, 11.8, 12.3, 14.1, 21.9, 20.0,, 1.9, 2.0, 2.2, 2.5, 2.5,, 187.0, 158.4, 183.4, 152.1, 238.8,, 3.6, 3.0, 3.3, 2.7, 4.1,, 347.4, 361.8, 397.2, 459.9, 582.9,, 6.7, 6.8, 7.1, 8.1, 9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,,,, 887.6,1 008.5, 919.9,1 146.9,1 205.0,, 24.7, 27.4, 24.4, 30.1, 31.0,, 1.6, 1.6, 1.6, 1.7, 1.7,, 460.7, 432.4, 464.6, 303.3, 223.3,, 12.8, 11.7, 12.3, 8.0, 5.7,,1 143.5,1 260.0,1 427.0,1 688.3,1 870.5,, 31.8, 34.2, 37.9, 44.3, 48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
