COD_FEDERAL,NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,INASISTENCIA_3_A_15,CARENCIA_SALUD,INSEG_ALIMENTARIA,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,PORCENTAJE_RAZON_INGRESO,VULNERABLE_CARENCIA
,AGUAS_CALIENTES,AGUAS CALIENTES,2021,0.5,31.1,50.6,19.2,7 013.9,0.8,0.4,25.5
,AGUAS_CALIENTES,AGUAS CALIENTES,2022,0.2,32.7,50.1,21.5,6 621.8,0.5,0.845,25.6
,AGUAS_CALIENTES,AGUAS CALIENTES,2023,0.1,33.4,48.7,17.7,7 945.3,0.5,0.613,29.9
,AGUAS_CALIENTES,AGUAS CALIENTES,2024,0.6,27.5,44.2,14.3,8 600.1,0.4,0.193,30.4
,BAJA_CALIFORNIA,BAJA CALIFORNIA,2021,-0.5,95.2,44.7,14.7,7 751.7,1.3,0.417,33.9
,BAJA_CALIFORNIA,BAJA CALIFORNIA,2022,-0.4,88.4,46.2,15.5,8 288.8,1.5,0.548,34.4
,BAJA_CALIFORNIA,BAJA CALIFORNIA,2023,-1.4,84.8,43.6,12.6,9 822.4,1,0.358,38.1
,BAJA_CALIFORNIA,BAJA CALIFORNIA,2024,0,58.8,39.6,7.4,10 039.3,1.3,0.1,38
,BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2021,0,13,42.2,11,9 348.1,3.9,0.286,37.7
,BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2022,-0.5,12.6,44.5,16.3,7 769.4,2.9,0.912,30
,BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2023,-1.3,12.3,43.8,8,10 580.4,1.8,0.172,37.7
,BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2024,0,11.7,40.4,7.6,10 606.6,3.2,0.29,36.9
,CAMPECHE,CAMPECHE,2021,1,22.4,71.2,20.6,5 643.2,2,5.315,27.1
