NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,RAZON_INGRESO,CARENCIA_SALUD,INSEG_ALIMENTARIA,INASISTENCIA_3_A_15,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,VULNERABLE_CARENCIA
AGUAS_CALIENTES,AGUAS CALIENTES,2021,0.5,0.4,50.6,19.2,31.1,7 013.9,0.8,25.5
AGUAS_CALIENTES,AGUAS CALIENTES,2022,0.2,0.845,50.1,21.5,32.7,6 621.8,0.5,25.6
AGUAS_CALIENTES,AGUAS CALIENTES,2023,0.1,0.613,48.7,17.7,33.4,7 945.3,0.5,29.9
AGUAS_CALIENTES,AGUAS CALIENTES,2024,0.6,0.193,44.2,14.3,27.5,8 600.1,0.4,30.4
BAJA_CALIFORNIA,BAJA CALIFORNIA,2021,-0.5,0.417,44.7,14.7,95.2,7 751.7,1.3,33.9
BAJA_CALIFORNIA,BAJA CALIFORNIA,2022,-0.4,0.548,46.2,15.5,88.4,8 288.8,1.5,34.4
BAJA_CALIFORNIA,BAJA CALIFORNIA,2023,-1.4,0.358,43.6,12.6,84.8,9 822.4,1,38.1
BAJA_CALIFORNIA,BAJA CALIFORNIA,2024,0,0.1,39.6,7.4,58.8,10 039.3,1.3,38
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2021,0,0.286,42.2,11,13,9 348.1,3.9,37.7
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2022,-0.5,0.912,44.5,16.3,12.6,7 769.4,2.9,30
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2023,-1.3,0.172,43.8,8,12.3,10 580.4,1.8,37.7
BAJA_CALIFORNIA_SUR,BAJA CALIFORNIA SUR,2024,0,0.29,40.4,7.6,11.7,10 606.6,3.2,36.9
CAMPECHE,CAMPECHE,2021,1,5.315,71.2,20.6,22.4,5 643.2,2,27.1
CAMPECHE,CAMPECHE,2022,0.3,5.958,69.7,22.3,18.5,5 311.4,2.4,21
CAMPECHE,CAMPECHE,2023,0.2,5.335,69.5,16.6,19.1,5 880.0,2.2,27.7
CAMPECHE,CAMPECHE,2024,0.6,3.101,67.5,14.1,16.6,6 192.5,2.4,31.3
COAHUILA,COAHUILA,2021,0.3,0.51,41.3,14,73.5,7 019.5,0.7,22
